company,console,name,metascore
Sony,PS3,NBA 2K9,82
Sony,PS3,Condemned 2: Bloodshot,82
Sony,PS3,Midnight Club: Los Angeles,82
Sony,PS3,PixelJunk Monsters Encore,82
Sony,PS3,MotorStorm: Pacific Rift,82
Sony,PS3,Saints Row 2,82
Sony,PS3,Hot Shots Golf: Out of Bounds,81
Sony,PS3,Tom Clancy's Rainbow Six Vegas 2,81
Sony,PS3,echochrome,81
Sony,PS3,NCAA Football 09,81
Sony,PS3,Metal Gear Online,81
Sony,PS3,Eternal Sonata,80
Sony,PS3,Buzz! Quiz TV,80
Sony,PS3,PixelJunk Eden,80
Sony,PS3,Lumines Supernova,80
Sony,PS3,Gran Turismo 5 Prologue,80
Sony,PS3,Thomas Was Alone,80
Sony,PS3,Stick it to the Man!,79
Sony,PS3,The Walking Dead: 400 Days,78
Sony,PS3,Tales of Xillia,78
Sony,PS3,Final Fantasy XIV Online: A Realm Reborn,78
Sony,PS3,Ibb & Obb,78
Sony,PS3,Pro Evolution Soccer 2014,78
Sony,PS3,Injustice: Gods Among Us,78
Sony,PS3,Kingdom Hearts HD 1.5 ReMIX,77
Sony,PS3,Dead or Alive 5 Ultimate,77
Sony,PS3,Crysis 3,77
Sony,PS3,Naruto Shippuden: Ultimate Ninja Storm 3,77
Sony,PS3,F1 2013,77
Sony,PS3,NCAA Football 14,77
Sony,PS3,Saints Row IV,76
Sony,PS3,The Walking Dead: Season Two Episode 3 - In Harm's Way,80
Sony,PS3,Atelier Rorona Plus: The Alchemist of Arland,80
Sony,PS3,Atelier Escha & Logy: Alchemists of the Dusk Sky,79
Sony,PS3,Hatsune Miku: Project Diva F 2nd,78
Sony,PS3,The Walking Dead: Season Two Episode 4 - Amid the Ruins,78
Sony,PS3,Tales of Symphonia Chronicles,77
Sony,PS3,Borderlands: The Pre-Sequel,77
Sony,PS3,ZEN Pinball,80
Sony,PS3,The Bigs 2,80
Sony,PS3,Pro Evolution Soccer 2012,80
Sony,PS3,Sonic's Ultimate Genesis Collection,80
Sony,PS3,Rocksmith,80
Sony,PS3,Sonic CD,80
Sony,PS3,Puzzle Dimension,79
Sony,PS3,Cuboid,79
Sony,PS3,Tekken 6,79
Sony,PS3,Rochard,79
Sony,PS3,Catherine,79
Sony,PS3,Prototype,79
Sony,PS3,F.E.A.R. 2: Project Origin,79
Sony,PS3,Driver: San Francisco,79
Sony,PS3,Dead Space: Extraction,79
Sony,PS3,Fat Princess,79
Sony,PS3,Madden NFL 12,79
Sony,PS3,Yakuza 4,78
Sony,PS3,inFamous: Festival of Blood,78
Sony,PS3,Deus Ex: Human Revolution - The Missing Link,78
Sony,PS3,The Tomb Raider Trilogy,78
Sony,PS3,Call of Juarez: Bound in Blood,78
Sony,PS3,Chime Super Deluxe,78
Sony,PS3,Pro Evolution Soccer 2010,78
Sony,PS3,Call of Duty Classic,78
Sony,PS3,El Shaddai: Ascension of the Metatron,78
Sony,PS3,Shadows of the Damned,77
Sony,PS3,MotorStorm: Apocalypse,77
Sony,PS3,Ghostbusters: The Video Game,78
Sony,PS3,The King of Fighters XIII,77
Sony,PS3,Pro Evolution Soccer 2009,77
Sony,PS3,Skylanders: Spyro's Adventure,77
Sony,PS3,Ace Combat: Assault Horizon,77
Sony,PS3,LEGO Harry Potter: Years 5-7,76
Sony,PS3,Gatling Gears,76
Sony,PS3,UEFA EURO 2008,79
Sony,PS3,Mirror's Edge,79
Sony,PS3,Disgaea 3: Absence of Justice,78
Sony,PS3,SIREN: Blood Curse,78
Sony,PS3,WWE SmackDown vs. Raw 2009,78
Sony,PS3,Crash Commando,78
Sony,PS3,Mega Man 9,77
Sony,PS3,The Last Guy,77
Sony,PS3,LEGO Indiana Jones: The Original Adventures,77
Sony,PS3,Brothers in Arms: Hell's Highway,76
Sony,PS3,Ratchet & Clank Future: Quest for Booty,76
Sony,PS3,SingStar Vol. 2,76
Sony,PS3,Kung Fu Panda,76
Sony,PS3,Tom Clancy's EndWar,76
Sony,PS3,Mortal Kombat vs. DC Universe,76
Sony,PS3,NBA Live 09,75
Sony,PS3,Tomb Raider: Underworld,75
Sony,PS3,Yakuza 3,79
Sony,PS3,Auditorium HD,79
Sony,PS3,DeathSpank,79
Sony,PS3,LEGO Harry Potter: Years 1-4,79
Sony,PS3,Enslaved: Odyssey to the West - Pigsy's Perfect 10,79
Sony,PS3,echochrome ii,79
Sony,PS3,Final Fight: Double Impact,79
Sony,PS3,Tiger Woods PGA Tour 11,78
Sony,PS3,The Sims 3,78
Sony,PS3,Toy Story 3,78
Sony,PS3,EA Sports Active 2,78
Sony,PS3,DeathSpank: Thongs of Virtue,78
Sony,PS3,Greed Corp,78
Sony,PS3,Mega Man 10,78
Sony,PS3,Sonic & Sega All-Stars Racing,77
Sony,PS3,EA Sports MMA,77
Sony,PS3,Pro Evolution Soccer 2011,77
Sony,PS3,Singularity,77
Sony,PS3,Scott Pilgrim vs. the World: The Game,77
Sony,PS3,Soldner-X 2: Final Prototype,77
Sony,PS3,Dead Nation,77
Sony,PS3,Costume Quest,77
Sony,PS3,Transformers: War for Cybertron,77
Sony,PS3,3D Dot Game Heroes,77
Sony,PS3,Worms 2: Armageddon,76
Sony,PS3,R.U.S.E.,76
Sony,PS3,Battlefield 3: Armored Kill,79
Sony,PS3,Quantum Conundrum,79
Sony,PS3,The Unfinished Swan,79
Sony,PS3,Prototype 2,79
Sony,PS3,Final Fantasy XIII-2,79
Sony,PS3,NCAA Football 13,79
Sony,PS3,The Darkness II,79
Sony,PS3,Tom Clancy's Ghost Recon: Future Soldier,79
Sony,PS3,Rock Band Blitz,78
Sony,PS3,Joe Danger 2: The Movie,78
Sony,PS3,Warp,78
Sony,PS3,Dragon's Dogma,78
Sony,PS3,Retro/Grade,78
Sony,PS3,Anomaly: Warzone Earth,78
Sony,PS3,Starhawk,77
Sony,PS3,Skylanders Giants,77
Sony,PS3,Shank 2,77
Sony,PS3,Spec Ops: The Line,77
Sony,PS3,Tales of Graces f,77
Sony,PS3,Transformers: Fall of Cybertron,77
Sony,PS3,Tom Clancy's Splinter Cell Double Agent,78
Sony,PS3,The Bigs,77
Sony,PS3,NCAA Football 08,77
Sony,PS3,Stranglehold,77
Sony,PS3,MLB 07: The Show,77
Sony,PS3,Stuntman Ignition,76
Sony,PS3,Medal of Honor: Airborne,75
Sony,PS3,Sega Rally Revo,75
Sony,PS3,Folklore,75
Sony,PS3,The Eye of Judgment,75
Sony,PS3,Calling All Cars!,74
Sony,PS3,Formula One Championship Edition,74
Sony,PS3,Major League Baseball 2K7,74
Sony,PS3,WWE SmackDown vs. Raw 2008,74
Sony,PS3,NHL 2K8,74
Sony,PS3,The Wolf Among Us: Episode 5 - Cry Wolf,75
Sony,PS3,GRID Autosport,75
Sony,PS3,Naruto Shippuden: Ultimate Ninja Storm Revolution,73
Sony,PS3,MotoGP 13,73
Sony,PS3,2014 FIFA World Cup Brazil,73
Sony,PS3,Ridge Racer 7,78
Sony,PS3,Madden NFL 07,76
Sony,PS3,Tony Hawk's Project 8,76
Sony,PS3,Need for Speed Carbon,75
Sony,PS3,Ratchet & Clank: Into the Nexus,76
Sony,PS3,BioShock Infinite: Burial at Sea - Episode One,76
Sony,PS3,Batman: Arkham Origins,76
Sony,PS3,Wonderbook: Diggs Nightcrawler,76
Sony,PS3,Dead Space 3,76
Sony,PS3,Madden NFL 25,76
Sony,PS3,Disney Infinity,75
Sony,PS3,Cloudberry Kingdom,75
Sony,PS3,AquaPazza: AquaPlus Dream Match,75
Sony,PS3,Sly Cooper: Thieves in Time,75
Sony,PS3,Call of Juarez: Gunslinger,75
Sony,PS3,Disney DuckTales Remastered,75
Sony,PS3,Tiger Woods PGA Tour 14,74
Sony,PS3,Disgaea D2: A Brighter Darkness,74
Sony,PS3,The Guided Fate Paradox,74
Sony,PS3,WWE 2K14,74
Sony,PS3,Resident Evil: Revelations,74
Sony,PS3,Payday 2,74
Sony,PS3,Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,73
Sony,PS3,Hatsune Miku: Project Diva F,73
Sony,PS3,Remember Me,72
Sony,PS3,Atelier Shallie: Alchemists of the Dusk Sea,76
Sony,PS3,Operation Flashpoint: Dragon Rising,76
Sony,PS3,Droplitz,76
Sony,PS3,Burn Zombie Burn,76
Sony,PS3,Band Hero,76
Sony,PS3,Worms,76
Sony,PS3,NCAA Basketball 10,75
Sony,PS3,Command & Conquer: Red Alert 3,75
Sony,PS3,Noby Noby Boy,75
Sony,PS3,LEGO Rock Band,75
Sony,PS3,MX vs. ATV Reflex,74
Sony,PS3,Marvel: Ultimate Alliance 2,74
Sony,PS3,Tom Clancy's HAWX,74
Sony,PS3,Katamari Forever,74
Sony,PS3,SingStar Queen,74
Sony,PS3,Bejeweled 2,74
Sony,PS3,Mini Ninjas,73
Sony,PS3,Savage Moon,73
Sony,PS3,Assassin's Creed Rogue,72
Sony,PS3,Tales of Xillia 2,71
Sony,PS3,One Piece: Unlimited World Red,71
Sony,PS3,JoJo's Bizarre Adventure All-Star Battle,71
Sony,PS3,Dustforce,70
Sony,PS3,Abyss Odyssey,70
Sony,PS3,Strider,70
Sony,PS3,Deception IV: Blood Ties,70
Sony,PS3,Battle Princess of Arcadias,69
Sony,PS3,Earth Defense Force 2025,69
Sony,PS3,Sonic Generations,76
Sony,PS3,Tales From Space: About a Blob,76
Sony,PS3,PixelJunk SideScroller,76
